Alias,Center Name,Accession,Title
DRR127748,TITECH,DRR127748,Illumina HiSeq 2500 paired end sequencing of SAMD00114994
DRR162776,TITECH,DRR162776,Illumina HiSeq 2500 paired end sequencing of SAMD00154992
DRR127724,TITECH,DRR127724,Illumina HiSeq 2500 paired end sequencing of SAMD00114970
DRR127728,TITECH,DRR127728,Illumina HiSeq 2500 paired end sequencing of SAMD00114974
DRR127685,TITECH,DRR127685,Illumina HiSeq 2500 paired end sequencing of SAMD00114931
DRR127580,TITECH,DRR127580,Illumina HiSeq 2500 paired end sequencing of SAMD00114826
DRR127625,TITECH,DRR127625,Illumina HiSeq 2500 paired end sequencing of SAMD00114871
DRR127485,TITECH,DRR127485,Illumina HiSeq 2500 paired end sequencing of SAMD00114731
DRR127704,TITECH,DRR127704,Illumina HiSeq 2500 paired end sequencing of SAMD00114950
DRR127646,TITECH,DRR127646,Illumina HiSeq 2500 paired end sequencing of SAMD00114892
DRR127774,TITECH,DRR127774,Illumina HiSeq 2500 paired end sequencing of SAMD00115020
DRR127638,TITECH,DRR127638,Illumina HiSeq 2500 paired end sequencing of SAMD00114884
DRR127720,TITECH,DRR127720,Illumina HiSeq 2500 paired end sequencing of SAMD00114966
DRR162775,TITECH,DRR162775,Illumina HiSeq 2500 paired end sequencing of SAMD00154991
DRR127736,TITECH,DRR127736,Illumina HiSeq 2500 paired end sequencing of SAMD00114982
DRR127683,TITECH,DRR127683,Illumina HiSeq 2500 paired end sequencing of SAMD00114929
DRR162778,TITECH,DRR162778,Illumina HiSeq 2500 paired end sequencing of SAMD00154994
DRR127767,TITECH,DRR127767,Illumina HiSeq 2500 paired end sequencing of SAMD00115013
DRR127647,TITECH,DRR127647,Illumina HiSeq 2500 paired end sequencing of SAMD00114893
DRR127536,TITECH,DRR127536,Illumina HiSeq 2500 paired end sequencing of SAMD00114782
DRR127756,TITECH,DRR127756,Illumina HiSeq 2500 paired end sequencing of SAMD00115002
DRR127708,TITECH,DRR127708,Illumina HiSeq 2500 paired end sequencing of SAMD00114954
DRR127776,TITECH,DRR127776,Illumina HiSeq 2500 paired end sequencing of SAMD00115022
DRR127617,TITECH,DRR127617,Illumina HiSeq 2500 paired end sequencing of SAMD00114863
DRR127649,TITECH,DRR127649,Illumina HiSeq 2500 paired end sequencing of SAMD00114895
DRR127524,TITECH,DRR127524,Illumina HiSeq 2500 paired end sequencing of SAMD00114770
DRR127763,TITECH,DRR127763,Illumina HiSeq 2500 paired end sequencing of SAMD00115009
DRR127707,TITECH,DRR127707,Illumina HiSeq 2500 paired end sequencing of SAMD00114953
DRR127583,TITECH,DRR127583,Illumina HiSeq 2500 paired end sequencing of SAMD00114829
DRR127737,TITECH,DRR127737,Illumina HiSeq 2500 paired end sequencing of SAMD00114983
DRR127752,TITECH,DRR127752,Illumina HiSeq 2500 paired end sequencing of SAMD00114998
DRR127777,TITECH,DRR127777,Illumina HiSeq 2500 paired end sequencing of SAMD00115023
DRR127700,TITECH,DRR127700,Illumina HiSeq 2500 paired end sequencing of SAMD00114946
DRR127519,TITECH,DRR127519,Illumina HiSeq 2500 paired end sequencing of SAMD00114765
DRR127488,TITECH,DRR127488,Illumina HiSeq 2500 paired end sequencing of SAMD00114734
DRR127517,TITECH,DRR127517,Illumina HiSeq 2500 paired end sequencing of SAMD00114763
DRR127478,TITECH,DRR127478,Illumina HiSeq 2500 paired end sequencing of SAMD00114724
DRR127596,TITECH,DRR127596,Illumina HiSeq 2500 paired end sequencing of SAMD00114842
