,Alias,Center Name,Accession,Title
232,DRR171739,TITECH,DRR171739,SAMD00114739
233,DRR171995,TITECH,DRR171995,SAMD00115064
234,DRR171802,TITECH,DRR171802,SAMD00114819
235,DRR171558,TITECH,DRR171558,SAMD00164868
236,DRR171513,TITECH,DRR171513,SAMD00164823
237,DRR171670,TITECH,DRR171670,SAMD00164980
238,DRR171564,TITECH,DRR171564,SAMD00164874
239,DRR171921,TITECH,DRR171921,SAMD00114973
240,DRR171710,TITECH,DRR171710,SAMD00165020
241,DRR171865,TITECH,DRR171865,SAMD00114901
242,DRR171583,TITECH,DRR171583,SAMD00164893
243,DRR172005,TITECH,DRR172005,SAMD00115074
244,DRR171574,TITECH,DRR171574,SAMD00164884
245,DRR171578,TITECH,DRR171578,SAMD00164888
246,DRR171898,TITECH,DRR171898,SAMD00114941
247,DRR171960,TITECH,DRR171960,SAMD00115028
248,DRR171663,TITECH,DRR171663,SAMD00164973
249,DRR171801,TITECH,DRR171801,SAMD00114818
250,DRR171527,TITECH,DRR171527,SAMD00164837
251,DRR171661,TITECH,DRR171661,SAMD00164971
252,DRR171684,TITECH,DRR171684,SAMD00164994
253,DRR171863,TITECH,DRR171863,SAMD00114899
254,DRR171985,TITECH,DRR171985,SAMD00115054
255,DRR171650,TITECH,DRR171650,SAMD00164960
256,DRR171983,TITECH,DRR171983,SAMD00115052
257,DRR171500,TITECH,DRR171500,SAMD00164806
258,DRR171606,TITECH,DRR171606,SAMD00164916
259,DRR171876,TITECH,DRR171876,SAMD00114913
260,DRR171728,TITECH,DRR171728,SAMD00114723
261,DRR171918,TITECH,DRR171918,SAMD00114969
262,DRR171461,TITECH,DRR171461,SAMD00164696
263,DRR171813,TITECH,DRR171813,SAMD00114833
264,DRR171904,TITECH,DRR171904,SAMD00114948
265,DRR171975,TITECH,DRR171975,SAMD00115044
266,DRR171679,TITECH,DRR171679,SAMD00164989
267,DRR171881,TITECH,DRR171881,SAMD00114921
268,DRR171562,TITECH,DRR171562,SAMD00164872
269,DRR171478,TITECH,DRR171478,SAMD00164757
270,DRR171788,TITECH,DRR171788,SAMD00114802
271,DRR171525,TITECH,DRR171525,SAMD00164835
272,DRR171897,TITECH,DRR171897,SAMD00114940
273,DRR171949,TITECH,DRR171949,SAMD00115014
274,DRR171707,TITECH,DRR171707,SAMD00165017
275,DRR171839,TITECH,DRR171839,SAMD00114868
276,DRR171598,TITECH,DRR171598,SAMD00164908
277,DRR171944,TITECH,DRR171944,SAMD00115006
278,DRR171600,TITECH,DRR171600,SAMD00164910
279,DRR171972,TITECH,DRR171972,SAMD00115041
280,DRR171826,TITECH,DRR171826,SAMD00114851
281,DRR171861,TITECH,DRR171861,SAMD00114897
282,DRR171914,TITECH,DRR171914,SAMD00114962
283,DRR171939,TITECH,DRR171939,SAMD00114996
284,DRR171888,TITECH,DRR171888,SAMD00114928
285,DRR171961,TITECH,DRR171961,SAMD00115029
286,DRR171678,TITECH,DRR171678,SAMD00164988
287,DRR171702,TITECH,DRR171702,SAMD00165012
288,DRR171896,TITECH,DRR171896,SAMD00114939
289,DRR171929,TITECH,DRR171929,SAMD00114985
290,DRR171568,TITECH,DRR171568,SAMD00164878
291,DRR171665,TITECH,DRR171665,SAMD00164975
292,DRR171559,TITECH,DRR171559,SAMD00164869
293,DRR171611,TITECH,DRR171611,SAMD00164921
294,DRR171854,TITECH,DRR171854,SAMD00114887
295,DRR171969,TITECH,DRR171969,SAMD00115038
296,DRR171704,TITECH,DRR171704,SAMD00165014
297,DRR171770,TITECH,DRR171770,SAMD00114779
298,DRR171905,TITECH,DRR171905,SAMD00114949
299,DRR171506,TITECH,DRR171506,SAMD00164814
300,DRR171741,TITECH,DRR171741,SAMD00114741
301,DRR171617,TITECH,DRR171617,SAMD00164927
302,DRR171459,TITECH,DRR171459,SAMD00164694
303,DRR171855,TITECH,DRR171855,SAMD00114888
304,DRR171777,TITECH,DRR171777,SAMD00114789
305,DRR171532,TITECH,DRR171532,SAMD00164842
306,DRR171557,TITECH,DRR171557,SAMD00164867
307,DRR171957,TITECH,DRR171957,SAMD00115025
308,DRR171953,TITECH,DRR171953,SAMD00115018
309,DRR171962,TITECH,DRR171962,SAMD00115030
310,DRR171680,TITECH,DRR171680,SAMD00164990
311,DRR171529,TITECH,DRR171529,SAMD00164839
312,DRR171720,TITECH,DRR171720,SAMD00165030
313,DRR171542,TITECH,DRR171542,SAMD00164852
314,DRR172004,TITECH,DRR172004,SAMD00115073
315,DRR171507,TITECH,DRR171507,SAMD00164817
316,DRR171492,TITECH,DRR171492,SAMD00164779
317,DRR171473,TITECH,DRR171473,SAMD00164746
318,DRR171676,TITECH,DRR171676,SAMD00164986
319,DRR171730,TITECH,DRR171730,SAMD00114726
320,DRR171666,TITECH,DRR171666,SAMD00164976
321,DRR171729,TITECH,DRR171729,SAMD00114725
322,DRR171682,TITECH,DRR171682,SAMD00164992
323,DRR171878,TITECH,DRR171878,SAMD00114916
324,DRR171581,TITECH,DRR171581,SAMD00164891
325,DRR172008,TITECH,DRR172008,SAMD00115077
326,DRR171623,TITECH,DRR171623,SAMD00164933
327,DRR171514,TITECH,DRR171514,SAMD00164824
